Normalized.Creator,date,total
Amy Tan,2017-04-01T07:00Z,54
Amy Tan,2017-05-01T07:00Z,72
Amy Tan,2017-06-01T07:00Z,65
Amy Tan,2017-07-01T07:00Z,89
Amy Tan,2017-08-01T07:00Z,82
Amy Tan,2017-09-01T07:00Z,66
Amy Tan,2017-10-01T07:00Z,307
Amy Tan,2017-11-01T07:00Z,679
Amy Tan,2017-12-01T08:00Z,616
Amy Tan,2018-01-01T08:00Z,371
Amy Tan,2018-02-01T08:00Z,141
Amy Tan,2018-03-01T08:00Z,136
Amy Tan,2018-04-01T07:00Z,115
Amy Tan,2018-05-01T07:00Z,108
Amy Tan,2018-06-01T07:00Z,108
Amy Tan,2018-07-01T07:00Z,105
Amy Tan,2018-08-01T07:00Z,96
Amy Tan,2018-09-01T07:00Z,97
Amy Tan,2018-10-01T07:00Z,82
Amy Tan,2018-11-01T07:00Z,74
Amy Tan,2018-12-01T08:00Z,78
Amy Tan,2019-01-01T08:00Z,100
Amy Tan,2019-02-01T08:00Z,75
Amy Tan,2019-03-01T08:00Z,89
Amy Tan,2019-04-01T07:00Z,93
Amy Tan,2019-05-01T07:00Z,79
Amy Tan,2019-06-01T07:00Z,73
Amy Tan,2019-07-01T07:00Z,90
Amy Tan,2019-08-01T07:00Z,66
Amy Tan,2019-09-01T07:00Z,70
Amy Tan,2019-10-01T07:00Z,53
Amy Tan,2019-11-01T07:00Z,74
Amy Tan,2019-12-01T08:00Z,76
Amy Tan,2020-01-01T08:00Z,70
Amy Tan,2020-02-01T08:00Z,67
Amy Tan,2020-03-01T08:00Z,61
Amy Tan,2020-04-01T07:00Z,55
Amy Tan,2020-05-01T07:00Z,56
Amy Tan,2020-06-01T07:00Z,57
Amy Tan,2020-07-01T07:00Z,117
Amy Tan,2020-08-01T07:00Z,82
Amy Tan,2020-09-01T07:00Z,65
Amy Tan,2020-10-01T07:00Z,57
Amy Tan,2020-11-01T07:00Z,78
Amy Tan,2020-12-01T08:00Z,83
Amy Tan,2021-01-01T08:00Z,68
Amy Tan,2021-02-01T08:00Z,64
Amy Tan,2021-03-01T08:00Z,86
Amy Tan,2021-04-01T07:00Z,53
Amy Tan,2021-05-01T07:00Z,219
Amy Tan,2021-06-01T07:00Z,139
Amy Tan,2021-07-01T07:00Z,126
Amy Tan,2021-08-01T07:00Z,109
Amy Tan,2021-09-01T07:00Z,107
Amy Tan,2021-10-01T07:00Z,102
Amy Tan,2021-11-01T07:00Z,89
Amy Tan,2021-12-01T08:00Z,98
Amy Tan,2022-01-01T08:00Z,113
Amy Tan,2022-02-01T08:00Z,89
Amy Tan,2022-03-01T08:00Z,125
Amy Tan,2022-04-01T07:00Z,109
Amy Tan,2022-05-01T07:00Z,138
Amy Tan,2022-06-01T07:00Z,103
Amy Tan,2022-07-01T07:00Z,99
Amy Tan,2022-08-01T07:00Z,112
Amy Tan,2022-09-01T07:00Z,83
Amy Tan,2022-10-01T07:00Z,94
Amy Tan,2022-11-01T07:00Z,82
Amy Tan,2022-12-01T08:00Z,74
Amy Tan,2023-01-01T08:00Z,91
Amy Tan,2023-02-01T08:00Z,81
Amy Tan,2023-03-01T08:00Z,82
Amy Tan,2023-04-01T07:00Z,79
Amy Tan,2023-05-01T07:00Z,103
Amy Tan,2023-06-01T07:00Z,94
Amy Tan,2023-07-01T07:00Z,76
Amy Tan,2023-08-01T07:00Z,75
Amy Tan,2023-09-01T07:00Z,85
Amy Tan,2023-10-01T07:00Z,74
Amy Tan,2023-11-01T07:00Z,122
Amy Tan,2023-12-01T08:00Z,86
Amy Tan,2024-01-01T08:00Z,80
Amy Tan,2024-02-01T08:00Z,80
Amy Tan,2024-03-01T08:00Z,86
Amy Tan,2024-04-01T07:00Z,275
Amy Tan,2024-07-01T07:00Z,214
Amy Tan,2024-08-01T07:00Z,279
Amy Tan,2024-09-01T07:00Z,314
Amy Tan,2024-10-01T07:00Z,378
Amy Tan,2024-11-01T07:00Z,367
Amy Tan,2024-12-01T08:00Z,388
Amy Tan,2025-01-01T08:00Z,388
Amy Tan,2025-02-01T08:00Z,269
Amy Tan,2025-03-01T08:00Z,214
Amy Tan,2025-04-01T07:00Z,164
Amy Tan,2025-05-01T07:00Z,182
Amy Tan,2025-06-01T07:00Z,160
