Normalized.Title,Normalized.Creator,Work.In.Norton,Checkouts
Collected Plays 1944,Arthur Miller,False,234
Second Variety,Philip K. Dick,False,233
The Letters Of Sylvia Plath,Sylvia Plath,False,232
Joe Turners Come And Gone,August Wilson,False,232
Complete Novels,Eudora Welty,False,230
Ma Raineys Black Bottom,August Wilson,False,229
Signifying Rappers,David Foster Wallace,False,228
Now Wait For Last Year,Philip K. Dick,False,228
Lunch Poems,Frank O'Hara,False,228
The Ones Who Walk Away From Omelas,Ursula K. Le Guin,False,227
Total Recall,Philip K. Dick,False,225
Pigeon Feathers,John Updike,False,225
Books And Islands In Ojibwe Country,Louise Erdrich,False,224
Self,John Ashbery,True,224
The Third Life Of Grange Copeland,Alice Walker,False,219
2br02b,Kurt Vonnegut,False,219
Martita I Remember You,Sandra Cisneros,False,219
Jimmys Blues,James Baldwin,False,218
The Actual,Saul Bellow,False,216
In Search Of Our Mothers Gardens,Alice Walker,False,215
Novels 1967,Philip Roth,False,215
On Being Blue,William H. Gass,False,214
The Town And The City,Jack Kerouac,False,214
Patrimony,Philip Roth,False,214
Collected Stories,Saul Bellow,False,213
Jitney,August Wilson,False,213
The Anatomy Lesson,Philip Roth,False,213
After The Fall,Arthur Miller,False,212
Elizabeth Bishop,Elizabeth Bishop,False,211
The John Updike Audio Collection,John Updike,False,209
Gertrude And Claudius,John Updike,False,209
The Price Of The Ticket,James Baldwin,False,208
The Man Whose Teeth Were All Exactly Alike,Philip K. Dick,False,208
Doctor Sax,Jack Kerouac,False,207
Modern American Memoirs,Annie Dillard,False,207
Billy Collins Live,Billy Collins,False,206
Zuckerman Unbound,Philip Roth,False,206
Collected Poems 1947,Allen Ginsberg,False,206
And The Hippos Were Boiled In Their Tanks,Jack Kerouac,False,205
Selected Works Of Audre Lorde,Audre Lorde,False,204
The Displaced,Viet Thanh Nguyen,False,201
Bronzeville Boys And Girls,Gwendolyn Brooks,False,199
Eye In The Sky,Philip K. Dick,False,197
Complete Novels,John Cheever,False,197
When The Light Of The World Was Subdued Our Songs Came Through,Joy Harjo,False,196
Collected Poems,Rita Dove,False,195
Flying Home,Ralph Ellison,False,194
Slow Learner,Thomas Pynchon,False,194
The People Shall Continue,Simon J. Ortiz,False,193
"If I Die In A Combat Zone, Box Me Up And Ship Me Home",Tim O'Brien,False,192
Behind My Eyes,Li-Young Lee,False,192
New And Selected Poems Volume Two,Mary Oliver,False,190
Him With His Foot In His Mouth,Saul Bellow,False,189
Great Angel Fantasies,Philip K. Dick,False,188
Plays 1957,Tennessee Williams,False,187
Blue Pastures,Mary Oliver,False,187
West Wind,Mary Oliver,False,187
The Annie Dillard Reader,Annie Dillard,False,187
Zuckerman Bound,Philip Roth,False,185
Questions About Angels,Billy Collins,False,184
First Indian On The Moon,Sherman Alexie,False,184
Five Novels Of The 1960s And 70s,Philip K. Dick,False,183
Selected Poems,Gwendolyn Brooks,False,183
To Save And To Destroy,Viet Thanh Nguyen,False,182
Novels And Stories 1959,Philip Roth,False,182
Gem Of The Ocean,August Wilson,False,182
The Cushion In The Road,Alice Walker,False,182
Very Far Away From Anywhere Else,Ursula K. Le Guin,False,181
The Summer Of Black Widows,Sherman Alexie,False,181
On Writing,Eudora Welty,False,181
Stride Toward Freedom,Martin Luther King Jr.,False,180
We Are Shining,Gwendolyn Brooks,False,179
The John Cheever Audio Collection,John Cheever,False,177
End Zone,Don Delillo,False,176
Life Sentences,William H. Gass,False,175
Gardens In The Dunes,Leslie Marmon Silko,False,175
The Moon Before Morning,W.S. Merwin,False,174
Winter Hours,Mary Oliver,False,174
Imagine,Juan Felipe Herrera,False,173
The Good Rainbow Road,Simon J. Ortiz,False,173
Create Dangerously,Edwidge Danticat,False,173
The Upside Down Boy,Juan Felipe Herrera,False,172
Ravelstein,Saul Bellow,False,172
Where Do They Go,Julia Alvarez,False,171
American Originality,Louise Glück,False,171
The World Will Follow Joy,Alice Walker,False,171
Licks Of Love,John Updike,False,170
A Fisherman Of The Inland Sea,Ursula K. Le Guin,False,170
Absolute Trust In The Goodness Of The Earth,Alice Walker,False,170
Little Man Little Man,James Baldwin,False,170
American Primitive,Mary Oliver,False,170
Letting Go,Philip Roth,False,168
Ratners Star,Don Delillo,False,168
White Pine,Mary Oliver,False,168
Trust Me,John Updike,False,167
The Complete Poems 1927,Elizabeth Bishop,False,166
The Man Who Japed,Philip K. Dick,False,165
The Found And The Lost,Ursula K. Le Guin,False,164
The Radical King,Martin Luther King Jr.,False,164
Broken Glass,Arthur Miller,False,163
The Afterlife,John Updike,False,163
Sun Moon Star,Kurt Vonnegut,False,162
Thrall,Natasha Trethewey,False,162
Fidelity,Grace Paley,False,161
The New Atlantis,Ursula K. Le Guin,False,161
Living By Fiction,Annie Dillard,False,161
We Can Build You,Philip K. Dick,False,161
Gathering Blossoms Under Fire,Alice Walker,False,160
Hawaii One Summer,Maxine Hong Kingston,False,160
Summer Doorways,W.S. Merwin,False,160
Two Trains Running,August Wilson,False,159
Where Water Comes Together With Other Water,Raymond Carver,False,158
Maud Martha,Gwendolyn Brooks,False,158
The American Trilogy 1997,Philip Roth,False,158
I Am Your Sister,Audre Lorde,False,157
Words In Air,Elizabeth Bishop,False,157
The Low Low Woods,Carmen Maria Machado,False,156
The Fifth Book Of Peace,Maxine Hong Kingston,False,156
Fates Worse Than Death,Kurt Vonnegut,False,155
Where Shall I Wander,John Ashbery,False,155
Native Guard,Natasha Trethewey,True,154
Strength To Love,Martin Luther King Jr.,False,153
Weaving Sundown In A Scarlet Light,Joy Harjo,False,153
"Hot, Throbbing Dykes To Watch Out For",Alison Bechdel,False,152
Unnatural Dykes To Watch Out For,Alison Bechdel,False,152
Hainish Novels & Stories. Volume Two,Ursula K. Le Guin,False,152
The High Sierra Of California,Gary Snyder,False,152
Due Considerations,John Updike,False,151
Always Looking,John Updike,False,151
The Compass Rose,Ursula K. Le Guin,False,150
Youre A Genius All The Time,Jack Kerouac,False,150
Love Kurt,Kurt Vonnegut,False,150
Hunter S,Hunter S. Thompson,False,150
Three Plays,August Wilson,False,150
Haiti Noir,Edwidge Danticat,False,149
Complete Stories,Kurt Vonnegut,False,149
Miami,Joan Didion,False,149
The Practice Of The Wild,Gary Snyder,False,148
The Measure Of Our Lives,Toni Morrison,False,147
Endpoint,John Updike,False,146
The Evidence Of Things Not Seen,James Baldwin,False,146
Palm Sunday,Kurt Vonnegut,False,145
The White Card,Claudia Rankine,False,145
The Best American Essays 2011,Edwidge Danticat,False,142
The Allen Ginsberg Poetry Collection,Allen Ginsberg,False,142
The Wapshot Chronicle,John Cheever,False,142
The Dying Animal,Philip Roth,False,142
Edgar Allan Poe And The Juke,Elizabeth Bishop,False,141
Turtle Island,Gary Snyder,False,141
The Shoe Bird,Eudora Welty,False,139
Of The Farm,John Updike,False,139
To Free The Captives,Tracy K. Smith,False,139
Dream Drawings,N. Scott Momaday,False,139
A Time To Break Silence,Martin Luther King Jr.,False,138
Mister Sammlers Planet,Saul Bellow,False,137
I Love A Broad Margin To My Life,Maxine Hong Kingston,False,137
After Henry,Joan Didion,False,136
Visions Of Gerard,Jack Kerouac,False,136
Running Dog,Don Delillo,False,136
Three Days Before The Shooting,Ralph Ellison,False,134
Stories Essays And Memoir,Eudora Welty,False,134
Great Jones Street,Don Delillo,False,134
Selected Stories,John Updike,False,134
Evening Train,Denise Levertov,False,133
The Zap Gun,Philip K. Dick,False,133
Were Alone,Edwidge Danticat,False,132
In The Heart Of The Heart Of The Country,William H. Gass,False,132
Radio Golf,August Wilson,False,132
The Victim,Saul Bellow,False,132
Selected Poems,Frank O'Hara,False,132
Just As I Thought,Grace Paley,False,131
Tripmaster Monkey,Maxine Hong Kingston,False,131
Everett Andersons Goodbye,Lucille Clifton,False,130
Searoad,Ursula K. Le Guin,False,130
Monument,Natasha Trethewey,False,130
Flannery Oconnor,Flannery O' Connor,False,129
Better Than Sex,Hunter S. Thompson,False,129
Selected Poems,Theodore Roethke,False,129
Migration,W.S. Merwin,False,129
Far Sector,N. K. Jemisin,False,129
Presence,Arthur Miller,False,129
A Few Rules For Predicting The Future,Octavia E. Butler,False,129
Collected Poems 1943,Richard Wilbur,False,127
Mccains Promise,David Foster Wallace,False,127
S,John Updike,False,127
In The Beauty Of The Lilies,John Updike,False,127
Those Bones Are Not My Child,Toni Cade Bambara,False,126
Ararat,Louise Glück,False,126
Pictures From An Institution,Randall Jarrell,False,125
The Collected Poems Of Denise Levertov,Denise Levertov,False,124
Kingdom Of Fear,Hunter S. Thompson,False,124
Toward The End Of Time,John Updike,False,123
Solar Lottery,Philip K. Dick,False,122
Out Here,Ursula K. Le Guin,False,121
Electric Dreams,Philip K. Dick,False,121
Collected Poems 1956,John Ashbery,False,121
The Price,Arthur Miller,False,120
The Seven Ages,Louise Glück,False,120
Essential Cheever,John Cheever,False,119
More Die Of Heartbreak,Saul Bellow,False,119
Earthsea--Series 2,Ursula K. Le Guin,False,118
The Undressing,Li-Young Lee,False,118
The Way To Rainy Mountain,N. Scott Momaday,True,118
Back On The Fire,Gary Snyder,False,117
Suckers Portfolio,Kurt Vonnegut,False,116
Old Shirts And New Skins,Sherman Alexie,False,116
Storyteller,Leslie Marmon Silko,False,116
Overcoming Speechlessness,Alice Walker,False,116
Blessing The Boats,Lucille Clifton,True,115
Already A Butterfly,Julia Alvarez,False,115
Commotion Of The Birds,John Ashbery,False,114
The Complete Poems,Anne Sexton,False,114
The Great American Novel,Philip Roth,False,113
Of Woman Born,Adrienne Rich,False,113
The Chicken Chronicles,Alice Walker,False,112
Smoke Signals,Sherman Alexie,False,111
Kurt Vonnegut Letters,Kurt Vonnegut,False,111
Deus Irae,Philip K. Dick,False,111
Featherless,Juan Felipe Herrera,False,110
Wait Till Im Dead,Allen Ginsberg,False,110
The Bat,Randall Jarrell,False,110
The Language Of The Night,Ursula K. Le Guin,False,109
To Jerusalem And Back,Saul Bellow,False,109
Orpheus Descending,Tennessee Williams,False,109
The Cosmic Puppets,Philip K. Dick,False,109
Co Mix,Art Spiegelman,False,109
The Best Minds Of My Generation,Allen Ginsberg,False,108
A Call To Conscience,Martin Luther King Jr.,False,108
Sands Of The Well,Denise Levertov,False,108
Original Fire,Louise Erdrich,False,108
Book Of My Nights,Li-Young Lee,False,108
Dont Let Me Be Lonely,Claudia Rankine,False,108
Friends From The Other Side = Amigos Del Otro Lado,Gloria Anzaldúa,False,108
Malafrena,Ursula K. Le Guin,False,107
Flight To Canada,Ishmael Reed,False,107
The Wind'S Twelve Quarters,Ursula K. Le Guin,False,107
Chicken Of The Sea,Viet Thanh Nguyen,False,107
Sweet People Are Everywhere,Alice Walker,False,107
A Worldly Country,John Ashbery,False,107
Such Color,Tracy K. Smith,False,107
Octavia E,Octavia E. Butler,False,106
Jack Kerouac And Allen Ginsberg,Jack Kerouac,False,105
Selected Poems,Robert Lowell,False,105
Our Gang,Philip Roth,False,105
Joan Didion,Joan Didion,False,104
King Hedley Ii,August Wilson,False,104
The Gary Snyder Reader,Gary Snyder,False,104
Something To Do With Paying Attention,David Foster Wallace,False,103
The Habit Of Being,Flannery O' Connor,False,103
The Variable Man,Philip K. Dick,False,102
This Great Unknowing,Denise Levertov,False,102
"""All Labor Has Dignity""",Martin Luther King Jr.,False,102
Catching The Light,Joy Harjo,False,101
The Tunnel,William H. Gass,False,100
First Thought Best Thought,Allen Ginsberg,False,100
Proofs & Theories,Louise Glück,False,99
Tonight No Poetry Will Serve,Adrienne Rich,False,99
Langston Hughes American Poet,Alice Walker,False,99
The Night Of The Iguana,Tennessee Williams,False,99
Hairs,Sandra Cisneros,False,98
A New Path To The Waterfall,Raymond Carver,False,98
Martin Luther King Junior The Last Interview,Martin Luther King Jr.,False,97
Imperfect Thirst,Galway Kinnell,False,97
Marry Me,John Updike,False,97
Novels 1973,Philip Roth,False,96
Rabbit Remembered,John Updike,False,96
Selected Poems 1947,Allen Ginsberg,False,96
The Dead Father,Donald Barthelme,False,96
The Professor Of Desire,Philip Roth,False,96
The Collected Poems Of Theodore Roethke,Theodore Roethke,False,95
The Nuclear Age,Tim O'Brien,False,95
Midnight Salvage,Adrienne Rich,False,94
The School Among The Ruins,Adrienne Rich,False,94
Late In The Day,Ursula K. Le Guin,False,94
Garden Time,W.S. Merwin,False,94
The Book Of Light,Lucille Clifton,False,94
The Complete Orsinia,Ursula K. Le Guin,False,93
Duende,Tracy K. Smith,False,93
On The Bus With Rosa Parks,Rita Dove,False,93
Third Life Of Grange Copeland,Alice Walker,False,93
Orsinian Tales,Ursula K. Le Guin,False,93
S O S,Amiri Baraka,False,93
Novels 1976,Kurt Vonnegut,False,93
The Haunted Life,Jack Kerouac,False,93
Confessions Of A Crap Artist,Philip K. Dick,False,92
In Mad Love And War,Joy Harjo,False,92
Calling The Doves,Juan Felipe Herrera,False,92
Unlocking The Air,Ursula K. Le Guin,False,90
Pafko At The Wall,Don Delillo,False,90
The Names,N. Scott Momaday,False,90
Generations,Lucille Clifton,False,89
Something To Declare,Julia Alvarez,False,89
Mexico City Blues,Jack Kerouac,False,89
Selected Poems,Denise Levertov,False,88
What If Our World Is Their Heaven,Philip K. Dick,False,88
A Temple Of Texts,William H. Gass,False,88
After The Dance,Edwidge Danticat,False,87
Later Poems,Adrienne Rich,False,87
Rogers Version,John Updike,False,87
On Lies Secrets And Silence,Adrienne Rich,False,87
Flying To America,Donald Barthelme,False,87
Grandma And Me At The Flea,Juan Felipe Herrera,False,87
The Far Field,Theodore Roethke,False,86
Illuminated Poems,Allen Ginsberg,False,86
In Search of Miracles,Julia Alvarez,False,86
One Day When I Was Lost,James Baldwin,False,85
The Essential Gwendolyn Brooks,Gwendolyn Brooks,False,85
Autobiography Of My Mother,Jamaica Kincaid,False,85
Suddenly Last Summer,Tennessee Williams,False,85
Like Shaking Hands With God,Kurt Vonnegut,False,85
The Man Who Had All The Luck,Arthur Miller,False,84
Your Name Here,John Ashbery,False,84
Yellow Woman And A Beauty Of The Spirit,Leslie Marmon Silko,False,84
Higher Gossip,John Updike,False,84
The Bingo Palace,Louise Erdrich,False,84
Blues People,Amiri Baraka,False,83
Tristessa,Jack Kerouac,False,83
Sonata Mulattica,Rita Dove,False,83
The Lice,W.S. Merwin,False,83
Present Company,W.S. Merwin,False,83
Deliberate Prose,Allen Ginsberg,False,82
Doctor Futurity,Philip K. Dick,False,82
The Dancing Mind,Toni Morrison,False,82
In The Name of Salome,Julia Alvarez,False,82
Eyes,William H. Gass,False,82
Finding My Elegy,Ursula K. Le Guin,False,81
Passage Through India,Gary Snyder,False,81
Book Of Sketches,Jack Kerouac,False,81
One Of The Problems Of Everett Anderson,Lucille Clifton,False,81
27 Wagons Full Of Cotton,Tennessee Williams,False,80
Mister Paradise,Tennessee Williams,False,80
The Collected Essays Of Ralph Ellison,Ralph Ellison,False,80
The Poorhouse Fair,John Updike,False,80
Strong Is Your Hold,Galway Kinnell,False,79
The World Has Changed,Alice Walker,False,79
Negocios,Junot Díaz,False,79
Tales Of The Out And The Gone,Amiri Baraka,False,79
The Rose Tattoo,Tennessee Williams,False,78
Thomas And Beulah,Rita Dove,True,78
The Collected Poems Of Tennessee Williams,Tennessee Williams,False,78
Dangling Man,Saul Bellow,False,78
Thirteen Stories,Eudora Welty,False,77
The Selected Letters Of Allen Ginsberg And Gary Snyder,Allen Ginsberg,False,77
Selected Prose,John Ashbery,False,76
The Theatre Of Tennessee Williams,Tennessee Williams,False,76
Up Simba,David Foster Wallace,False,76
The Collected Poems Of Frank Ohara,Frank O'Hara,False,76
Blues For Mister Charlie,James Baldwin,False,76
Poems Retrieved,Frank O'Hara,False,76
Our Friends From Frolix 8,Philip K. Dick,False,75
Coal,Audre Lorde,True,75
For A Girl Becoming,Joy Harjo,False,75
The Great Shark Hunt,Hunter S. Thompson,False,75
Collected Stories,Tennessee Williams,False,75
Memoirs,Robert Lowell,False,74
The Amen Corner,James Baldwin,False,74
Just Looking,John Updike,False,74
Finding Miracles,Julia Alvarez,False,74
A Human Eye,Adrienne Rich,False,73
Collected Poems,Jack Kerouac,False,73
Uncollected Poems Drafts Fragments And Translations,Gary Snyder,False,73
Theres A Revolution Outside My Love,Tracy K. Smith,False,73
The Sign In Sidney Brusteins Window,Lorraine Hansberry,False,72
Incident At Vichy,Arthur Miller,False,72
Northern Lights,Tim O'Brien,False,72
The Stream And The Sapphire,Denise Levertov,False,72
Novels 1987,Kurt Vonnegut,False,72
The Magic Barrel,Bernard Malamud,True,71
Collected Poems 1996,W.S. Merwin,False,71
The Game,Philip K. Dick,False,71
Words For The Wind,Theodore Roethke,False,71
Portraits Of Hispanic American Heroes,Juan Felipe Herrera,False,71
Reading Rilke,William H. Gass,False,70
Collected Poems,Robert Hayden,False,70
Kurt Vonnegut Drawings,Kurt Vonnegut,False,70
The Apple That Astonished Paris,Billy Collins,False,70
The Breast,Philip Roth,False,70
Letters,Saul Bellow,False,70
Why Write,Philip Roth,False,69
"Buffalo Gals, Won'T You Come Out Tonight",Ursula K. Le Guin,False,69
The Ends Of The Earth,W.S. Merwin,False,69
A Testament Of Hope,Martin Luther King Jr.,False,69
Beyond Katrina,Natasha Trethewey,False,69
Novels 1984,Saul Bellow,False,69
Circle Of Wonder,N. Scott Momaday,False,69
We Can Remember It For You Wholesale,Philip K. Dick,False,68
The End Of The Alphabet,Claudia Rankine,False,68
American Smooth,Rita Dove,False,68
Collected Early Poems 1950,Adrienne Rich,False,68
Burn This Book,Toni Morrison,False,68
Crazy Night,Tennessee Williams,False,67
The Measure Of A Man,Martin Luther King Jr.,False,67
Fox,Adrienne Rich,False,67
Every Day We Get More Illegal,Juan Felipe Herrera,False,67
Simone,Viet Thanh Nguyen,False,67
Breathing The Water,Denise Levertov,False,66
Parallel Movement Of The Hands,John Ashbery,False,66
A New Selected Poems,Galway Kinnell,False,66
The Gloria Anzaldúa Reader,Gloria Anzaldúa,False,65
The Same River Twice,Alice Walker,False,65
The Best American Science Fiction And Fantasy 2018,N. K. Jemisin,False,64
Sweet Bird Of Youth,Tennessee Williams,False,64
Everyday Mojo Songs Of Earth,Yusef Komunyakaa,False,64
Above The River,James Wright,False,64
Planisphere,John Ashbery,False,63
Beat Generation,Jack Kerouac,False,63
A Ride On The Red Mare'S Back,Ursula K. Le Guin,False,63
Vita Nova,Louise Glück,False,63
The Selected Letters Of Ralph Ellison,Ralph Ellison,False,63
The Ground On Which I Stand,August Wilson,False,62
An Encyclopedia Of Gardening For Colored Children,Jamaica Kincaid,False,62
77 Dream Songs,John Berryman,False,62
Memories Of The Ford Administration,John Updike,False,62
Sixty Odd,Ursula K. Le Guin,False,62
The Trumpet Of Conscience,Martin Luther King Jr.,False,62
What Moves At The Margin,Toni Morrison,False,62
Beyond Lies The Wub,Philip K. Dick,False,61
Players,Don Delillo,False,61
The Book Of Martyrdom And Artifice,Allen Ginsberg,False,61
"""Thou Dear God""",Martin Luther King Jr.,False,61
The Marvelous Arithmetics Of Distance,Audre Lorde,False,61
My Brother,Jamaica Kincaid,False,60
Selected Poems 1950,Adrienne Rich,False,60
Vintage Pkd,Philip K. Dick,False,60
Timebends,Arthur Miller,False,60
More Matter,John Updike,False,59
The Book Of Fables,W.S. Merwin,False,59
Telephone Ringing In The Labyrinth,Adrienne Rich,False,59
A Place In Space,Gary Snyder,False,59
The Best Gift in the World,Julia Alvarez,False,59
Talking Dirty To The Gods,Yusef Komunyakaa,False,59
Breezeway,John Ashbery,False,59
Gather Yourselves Together,Philip K. Dick,False,59
Notes From The Air,John Ashbery,False,58
The Blue Jays Dance,Louise Erdrich,False,58
Living Nations Living Words,Joy Harjo,False,58
The First Four Books Of Poems,Louise Glück,False,58
Unchopping A Tree,W.S. Merwin,False,58
A Knock At Midnight,Martin Luther King Jr.,False,58
The Essential W,W.S. Merwin,False,58
What There Is To Say We Have Said,Eudora Welty,False,58
Grandmothers Pigeon,Louise Erdrich,False,57
Jabberwalking,Juan Felipe Herrera,False,57
The Changing Light At Sandover,James Merrill,False,57
Talk Stories,Jamaica Kincaid,False,57
Delta Wedding,Eudora Welty,False,57
The Fixer,Bernard Malamud,False,57
Life Studies,Robert Lowell,False,57
Puro Amor,Sandra Cisneros,False,56
Sixty Stories,Donald Barthelme,False,56
Collected Poems,Galway Kinnell,False,56
What Is A Garden,W.S. Merwin,False,56
The Maximus Poems,Charles Olson,False,56
Selected Stories Of Eudora Welty,Eudora Welty,False,56
To Bedlam And Part Way Back,Anne Sexton,False,55
Brazil,John Updike,False,55
All My Pretty Ones,Anne Sexton,False,55
Summer And Smoke,Tennessee Williams,False,54
Collected Later Stories,John Updike,False,54
Caramelo O Puro Cuento,Sandra Cisneros,False,54
The Lion Or The Mouse,Toni Morrison,False,54
New And Selected Essays,Denise Levertov,False,54
No Other Book,Randall Jarrell,False,54
A Gift Of Love,Martin Luther King Jr.,False,54
A Cafecito Story,Julia Alvarez,False,54
Collected Poems 1953,John Updike,False,54
Eudora Welty As Photographer,Eudora Welty,False,53
Great American Authors Read From Their Works,James Baldwin,False,53
The Letters Of Sylvia Plath Vol 2,Sylvia Plath,False,53
The Mays Of Ventadorn,W.S. Merwin,False,52
Collected Poems,James Wright,False,52
The Chameleon Couch,Yusef Komunyakaa,False,52
Selected Poems,Rita Dove,False,52
Kurt Vonnegut The Last Interview,Kurt Vonnegut,False,52
One Art,Elizabeth Bishop,True,51
Black Music,Amiri Baraka,False,51
Tesserae,Denise Levertov,False,51
The System Of Dantes Hell,Amiri Baraka,False,51
Girls On The Run,John Ashbery,False,51
Quick Question,John Ashbery,False,50
Geography Iii,Elizabeth Bishop,False,50
The Bodys Question,Tracy K. Smith,False,50
Behind The Mountains,Edwidge Danticat,False,50
Shop Talk,Philip Roth,False,50
Everett Andersons Friend,Lucille Clifton,False,50
Incredible Good Fortune,Ursula K. Le Guin,False,49
The Pupil,W.S. Merwin,False,49
Cartesian Sonata,William H. Gass,False,49
Between Time And Timbuktu,Kurt Vonnegut,False,49
They Knew What They Wanted,John Ashbery,False,49
Anterooms,Richard Wilbur,False,49
The Crystal Crypt,Philip K. Dick,False,49
Mother Love,Rita Dove,False,49
Tomcat In Love,Tim O'Brien,False,49
187 Reasons Mexicanos Cant Cross The Border,Juan Felipe Herrera,False,48
Tests Of Time,William H. Gass,False,48
Nick And The Glimmung,Philip K. Dick,False,48
Notebooks,Tennessee Williams,False,48
Vulcans Hammer,Philip K. Dick,False,48
The Assistant,Bernard Malamud,False,48
Blacks,Gwendolyn Brooks,False,47
The Last Days Of Louisiana Red,Ishmael Reed,True,47
Bosh And Flapdoodle,A. R. Ammons,False,47
In Montgomery,Gwendolyn Brooks,False,47
The Facts,Philip Roth,False,47
My Life As A Man,Philip Roth,False,47
Bullet Park,John Cheever,False,47
Voices,Lucille Clifton,False,47
The William H,William H. Gass,False,46
Bech At Bay,John Updike,False,46
The Letters Of Denise Levertov And William Carlos Williams,Denise Levertov,False,46
Collected Early Stories,John Updike,False,46
The Complete Poems Of A,A. R. Ammons,False,45
Americana,John Updike,False,45
Warhorses,Yusef Komunyakaa,False,45
A Month Of Sundays,John Updike,False,45
Prose,Elizabeth Bishop,False,45
Saul Bellow,Saul Bellow,False,45
Subterraneans,Jack Kerouac,False,45
Memoirs,Tennessee Williams,False,45
Garbage,A. R. Ammons,False,45
Another Day At The Front,Ishmael Reed,False,45
Dutchman,Amiri Baraka,False,45
Camino Real,Tennessee Williams,False,45
The Selected Poems Of Frank Ohara,Frank O'Hara,False,45
Not About Nightingales,Tennessee Williams,False,44
Earth House Hold,Gary Snyder,False,44
Blues City,Ishmael Reed,False,44
Call Me Ishmael,Charles Olson,False,44
Later The Same Day,Grace Paley,False,44
The Namesake,Natasha Trethewey,False,44
The Vixen,W.S. Merwin,False,44
Selected Poems,Anne Sexton,False,44
The Branch Will Not Break,James Wright,False,43
Gilgamesh,Yusef Komunyakaa,False,43
Love,Don Delillo,False,43
Museums And Women,John Updike,False,42
Home,Amiri Baraka,False,42
Death And Fame,Allen Ginsberg,False,42
I Have Been To The Mountaintop,Martin Luther King Jr.,False,42
The Skull,Philip K. Dick,False,42
Meadowlands,Louise Glück,False,42
The Papers Of Martin Luther King Junior,Martin Luther King Jr.,False,42
The Letters Of Allen Ginsberg,Allen Ginsberg,False,41
Shadow And Act,Ralph Ellison,False,41
Elizabeth Bishop And The New Yorker,Elizabeth Bishop,False,41
Mixing It Up,Ishmael Reed,False,41
From Sand Creek,Simon J. Ortiz,False,41
The Collected Prose,Elizabeth Bishop,False,41
The Traveling Companion,Tennessee Williams,False,41
Collected Poems,Robert Lowell,False,41
The Essential Martin Luther King Junior,Martin Luther King Jr.,False,41
Selected Poems,Galway Kinnell,False,41
Chinese Whispers,John Ashbery,False,41
Collected Poems James Merrill,James Merrill,False,40
In The Bears House,N. Scott Momaday,False,40
Mountains And Rivers Without End,Gary Snyder,False,40
The Selected Letters Of Tennessee Williams,Tennessee Williams,False,40
Poetry And The Age,Randall Jarrell,False,40
Deception,Philip Roth,False,40
The Gun,Philip K. Dick,False,40
The Man Made Of Words,N. Scott Momaday,False,40
The Invention Of The Darling,Li-Young Lee,False,39
The Waking,Theodore Roethke,True,39
"""In A Single Garment Of Destiny""",Martin Luther King Jr.,False,39
Arts Of The Possible,Adrienne Rich,False,39
Pen America Best Debut Short Stories 2019,Carmen Maria Machado,False,38
Living With Music,Ralph Ellison,False,38
The Lost Upland,W.S. Merwin,False,38
Critical Hits,Carmen Maria Machado,False,38
Desolation Peak,Jack Kerouac,False,38
A House Not Meant To Stand,Tennessee Williams,False,38
Juice,Ishmael Reed,False,38
Eudora Welty Photographs,Eudora Welty,False,38
Everett Andersons Year,Lucille Clifton,False,38
The Milk Train Doesnt Stop Here Anymore,Tennessee Williams,False,37
"No Heroics, Please",Raymond Carver,False,37
Selected Translations,W.S. Merwin,False,37
The World Jones Made,Philip K. Dick,False,37
Something To Remember Me By,Saul Bellow,False,37
Tales,Amiri Baraka,False,37
Problems,John Updike,False,37
Why You Cant Be Anything You Want To Be,Arthur Miller,False,37
The Dream Songs,John Berryman,True,37
Light In The Dark = Luz En Lo Oscuro,Gloria Anzaldúa,False,37
Quilting,Lucille Clifton,False,37
The Back Country,Gary Snyder,False,36
To Be The Poet,Maxine Hong Kingston,False,36
Not,Donald Barthelme,False,36
Oh What A Paradise It Seems,John Cheever,False,36
Ultramarine,Raymond Carver,False,36
The Really Short Poems Of A,A. R. Ammons,False,36
The Roman Spring Of Mrs,Tennessee Williams,False,36
Occasions,Eudora Welty,False,36
Beyond The Door,Philip K. Dick,False,36
The Book Of Folly,Anne Sexton,False,36
One Time One Place,Eudora Welty,False,36
The Emperor Of Water Clocks,Yusef Komunyakaa,False,36
The Eccentricities Of A Nightingale,Tennessee Williams,False,36
Revolutionary Petunias,Alice Walker,False,35
Other Traditions,John Ashbery,False,35
Runaway Opposites,Richard Wilbur,False,35
Selected Poems,W.S. Merwin,False,35
New Selected Poems,Robert Lowell,False,35
The Cemetery of Untold Stories,Julia Alvarez,False,35
The Wapshot Scandal,John Cheever,False,34
Book Of Blues,Jack Kerouac,False,34
Domestic Work,Natasha Trethewey,False,34
A Different Person,James Merrill,False,34
Fish Soup,Ursula K. Le Guin,False,34
The Carrier Of Ladders,W.S. Merwin,False,34
The Adjustment Bureau,Philip K. Dick,False,34
The Old Ways,Gary Snyder,False,34
The Fact Of A Doorframe,Adrienne Rich,False,34
Taboo,Yusef Komunyakaa,False,33
Tell About Night Flowers,Eudora Welty,False,33
Myths And Texts,Gary Snyder,False,33
Selected Poems,Charles Olson,False,33
Selected Poems,James Merrill,False,33
The Words Of Martin Luther King Junior,Martin Luther King Jr.,False,33
On Politics And The Art Of Acting,Arthur Miller,False,33
New And Collected Poems,Richard Wilbur,False,33
